"id","pregunta","a","b","c","d","correcta"
"24","El Gobierno remitirá a las Cortes Valencianas un informe que, entre otros datos, contenga las actuaciones desarrolladas por la Administración autonómica para dar asistencia a las mujeres maltratadas. ¿Con qué periodicidad se remitirá ese informe?","Trimestral.","Anual.","Mensual.","Semestral.","B"
"25","La Conselleria con competencias en materia de mujer podrá proponer al Consell de la Generalitat el ejercicio de la acción popular, a través ... en los supuestos de agresiones físicas domésticas en los que se cause la muerte o lesiones graves a mujeres residentes en la Comunidad Valenciana.","del Observatorio de Género","de la Defensoría de la Igualdad de Géneros","del centro directivo de la administración de la Generalitat Valenciana con competencias en materia de mujeres e igualdad","del Gabinete Jurídico de la Generalitat o de abogadas/os colegiadas/os","D"
"26","Las administraciones públicas valencianas ofrecerán, en el ámbito de sus competencias, a las víctimas de la violencia de género:","Asistencia jurídica y psicológica especializada y gratuita","Asistencia psicológica especializada, pero no gratuita.","Asistencia jurídica gratuita, pero no psicológica.","Ninguna es correcta.","A"
"27","La administración autonómica adoptará las medidas necesarias para erradicar las barreras que dificulten el acceso de las mujeres a la utilización de los diversos recursos de comunicación e información. ¿Con qué fin?","Con el fin de atender las necesidades de las familias.","Con el fin de evitar cualquier tipo de discriminación.","Con el fin de hacer compatible el trabajo con la maternidad.","Ninguna es correcta.","B"
"28","La Generalitat Valenciana...","Facilitará el acceso de las mujeres al manejo de las nuevas tecnologías de la comunicación e información, con especial incidencia en la población femenina.","En todas las campañas de información sobre las medidas y normas contempladas en la ley, en especial las de sensibilización contra la violencia de género, vigilará para la utilización de los medios adecuados para hacer llegar sus mensajes a las mujeres con discapacidad.","Garantizará servicios de traducción o interpretación al lenguaje de signos para atender a mujeres carentes de visión u oído, de tal manera que se facilitarán los textos con los derechos, servicios y recursos existentes en braille para mujeres ciegas y transcripciones de los mismos para personas sordas.","Las tres respuestas son correctas.","D"
"29","En el ámbito de aplicación de la presente ley, y para evitar las bolsas de marginalidad o pobreza que está suponiendo el impago reiterado de las pensiones por alimentos a las mujeres, la Generalitat Valenciana garantizará, mediante un sistema de anticipos, el pago de alimentos reconocidos, a favor de las hijas e hijos menores de edad, en convenio judicialmente aprobado o resolución judicial, en los supuestos de separación legal, divorcio, declaración de nulidad del matrimonio y proceso de filiación o de alimentos. El pago de los anticipos previstos se atenderá con cargo a un Fondo ... dotado en los Presupuestos de la Generalitat Valenciana. La gestión de dicho Fondo ... corresponderá a...","La Conselleria competente en materia de mujer.","Al Observatorio de Género.","La Conselleria de Economía, Hacienda y Empleo.","El Consejo Valenciano de la Mujer.","C"
"30","En relación con la igualdad en la negociación colectiva, la administración autonómica valenciana, a través del ... informará la aplicación del principio de igualdad de géneros.","Observatorio de Género","Consell","Registro de Convenios Colectivos","Consejo Valenciano de la Mujer","C"
"31","En el ámbito de la Comunidad Valenciana, ¿quién establecerá instrumentos adecuados al servicio de la Inspección de Trabajo para controlar y hacer cumplir a las personas empleadoras el principio de igualdad de remuneración de mujeres y hombres por un mismo trabajo o por trabajos de igual valor?","Los departamentos de la administración autonómica competente en materia de empleo.","El Consejo Valenciano de la Mujer.","La Red Valenciana de Igualdad.","El centro directivo de la administración de la Generalitat Valenciana con competencias en materia de mujeres e igualdad de género.","A"
"32","En el ámbito de la Comunidad Valenciana, con el fin de fomentar el permiso parental compartido, la administración autonómica...","Pondrá en marcha campañas de sensibilización.","Tomará medidas que incentiven a las empresas y al personal a su servicio.","A y B son correctas.","Ninguna es correcta.","C"
"33","¿Quién promoverá, en el marco de las ayudas a la investigación, el estudio en la Comunidad Valenciana de un seguimiento de los procesos iniciados por malos tratos, agresiones sexuales y acoso sexual y de las resoluciones dictadas por Juzgados y Tribunales?","El Consejo Valenciano de la Mujer.","Las Corts Valencianes.","La Conselleria competente en materia de mujer.","El Consell de la Generalitat.","D"
"34","El Consell de la Generalitat garantizará la emisión de programas cuyo objetivo sea erradicar la violencia contra las mujeres, el acoso sexual y la explotación sexual de la mujer. ¿En qué medios de comunicación?","En los medios de comunicación en los que participen o subvencionen las administraciones públicas valencianas.","En los medios de comunicación audiovisual de titularidad pública.","En los medios de comunicación de titularidad pública y privada.","En ninguno de los anteriores.","B"
"35","Las administraciones públicas valencianas establecerán planes plurianuales de formación con el fin de promover el acceso de las mujeres a la promoción interna de la función pública, dentro del respeto a los principios de ...","Mérito y capacidad.","Igualdad y oportunidad.","Participación y flexibilidad.","Todas son correctas.","A"
"36","La administración autonómica incorporará en el Régimen de la Función Pública Valenciana el código de conducta contra el acoso sexual recogido en...","La Recomendación de la Comisión de las Comunidades Europeas de 27 de noviembre de 1991, relativa a la protección de la dignidad de la mujer y del hombre en el trabajo.","La Carta Europea de 2006 para la igualdad de mujeres y hombres de la vida local.","La Carta Europea de Derechos Humanos.","La Recomendación de la Comisión de 7 de marzo de 2014 sobre el refuerzo del principio de igualdad de retribución entre hombres y mujeres a través de la transparencia.","A"
"37","El art. 48 de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres establece que las administraciones públicas valencianas pondrán en marcha los medios necesarios para que toda norma o escrito administrativo respeten en su redacción las normas relativas a la utilización de un lenguaje...","No-machista.","No-igualitario.","No-excluyente.","No-sexista.","D"
"38","En caso de empate en la puntuación obtenida por dos o más empresas a las que les hubiera correspondido la máxima puntuación, tendrán preferencia en la adjudicación de los contratos administrativos de la Generalitat, las proposiciones de los licitadores que con la solvencia técnica de la empresa presenten...","Un plan de capacidad, previamente aprobado por cualquier administración pública u órgano competente.","Un plan de igualdad previamente aprobado por cualquier administración pública u órgano competente, siempre que las mismas igualen en sus términos a las más ventajosas desde el punto de vista de los criterios objetivos que sirven de base para la adjudicación.","Un plan de prevención de violencia de género, previamente aprobado por cualquier administración pública u órgano competente.","Ninguna respuesta es correcta.","B"
"39","Según el artículo 51, de la Ley 9/2003, de 2 de abril, de la Generalitat, para la igualdad entre mujeres y hombres, ¿qué órgano se encarga de vigilar el cumplimiento de lo previsto en la misma?","El observatorio de Género.","El Consejo Valenciano de las Mujeres.","La Defensoría de la Igualdad, siendo dicha Defensoría desempeñada por el Síndic de Greuges.","El observatorio para la igualdad de oportunidades.","C"
"40","La Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, en su Título IV establece como instituciones de protección del derecho a la igualdad de mujeres y hombres, las siguientes:","El Observatorio de Género, El Consejo Valenciano de la Mujer y la Defensoría de la Igualdad de Géneros.","Les Corts Valencianes y el Consejo Valenciano de la Mujer.","El Consejo Valenciano de la Mujer y el Sindic de Greuges.","Les Corts Valencianes y el Consell.","A"
"41","Señale cuál de los siguientes enunciados es correcto, de conformidad con lo dispuesto en la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres de la Generalitat:","Si una empresa solicita el visado de su Plan de Igualdad al centro directivo de la administración de la Generalitat Valenciana con competencia en materias de mujeres e igualdad de género, se entenderá estimada la solicitud si transcurre un plazo de seis meses sin que se haya dictado resolución expresa.","Todos los nombramientos que realice el Consell para constituir o formar parte de órganos o instituciones deben garantizar la presencia igualitaria de mujeres y hombres.","La Defensoría de la Igualdad será desempeñada por el Sindic de Greuges, en la forma y condiciones que prevé su ley de creación.","La Conselleria con competencias en materia de mujer podrá proponer al Consell el ejercicio de la acción popular en los supuestos de agresiones físicas domésticas en los que se cause la muerte o lesiones graves a mujeres nacidas en la Comunitat Valenciana, cualquiera que sea su lugar de residencia.","C"
"42","El art. 50 de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres establece que, siendo que la Generalitat tiene la obligación de impulsar políticas tendentes a eliminar las discriminaciones respecto a la mujer en nuestra Comunidad y promover la plena participación de la mujer en la vida política, económica y social, resulta imprescindible contar con el asesoramiento de un órgano de participación como es el/la...","Comisión Valenciana de Igualdad.","Sindic de Greuges.","Observatorio de la Mujer.","Consejo Valenciano de la Mujer.","D"
"43","Según establece la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, en su artículo 49, el Consell de la Generalitat:","Impulsará la desagregación de datos por sexos en todas las estadísticas e investigaciones que se lleven a cabo en la Comunitat Valenciana.","Profundizará en el estudio e investigación sobre la realidad social desde una perspectiva de género.","Dará cuenta de la evolución de los índices de igualdad de mujeres y hombres en el ámbito de la Comunitat Valenciana.","Las tres respuestas anteriores son correctas.","D"
"44","El Consell de la Generalitat favorecerá la contratación de personal de servicio doméstico para el cuidado del hogar y de personas dependientes mediante...","Prestaciones suficientes.","Políticas de igualdad.","Medidas fiscales apropiadas.","Políticas de género y de igualdad.","C"
"45","La presente ley tiene por objeto, señala la incorrecta","Regular y hacer efectivo el principio de igualdad de mujeres y hombres en la Comunidad Valenciana","Determinar las acciones básicas que deben ser implementadas","Establecer la organización administrativa de la igualdad de oportunidades entre mujeres y hombres en la Generalitat Valenciana","Todas son correctas","C"
"46","Son Principios generales, señala la incorrecta.","Son prefectos del ordenamiento jurídico las actuaciones públicas o los comportamientos privados que sean discriminatorios.","No toda igualdad es constitutiva de discriminación. No hay una prohibición general que impida establecer cualquier diferencia, lo que se prohíbe es la igualdad que carece de justificación objetiva, racional y razonable.","Cuando se disponga una diferencia de trato deben emplearse los medios que resulten proporcionados y adecuados o congruentes con los fines que se persiguen.","A y B son incorrectas","D"
"47","La presente ley será de aplicación","En todo el ámbito territorial de la Comunidad Valenciana","En todas las actuaciones referidas a la planificación, acciones, gestión y ejecución de actuaciones en materia de igualdad de oportunidades entre mujeres y hombres.","A y B son incorrectas","A y B son correctas","D"
"48","Las actuaciones reguladas están referidas tanto a las nuevas medidas que se implementen como a las que actualmente se están realizando, así como las que ya existen en materia de igualdad de oportunidades entre mujeres y hombres.","Que sean promovidas o realizadas por personas físicas, de naturaleza pública o privada.","Ya sean promovidas o realizadas por personas físicas o jurídicas, de naturaleza pública o privada.","Ya sean promovidas o realizadas por personas físicas o jurídicas, de naturaleza pública.","Que sean promovidas o realizadas por personas jurídicas, de naturaleza pública o privada.","B"
"49","Los poderes públicos valencianos adoptarán las medidas apropiadas para modificar los patrones socio-culturales de conducta asignados en función del","Genero y sexo","Sexo","Genero","Estatus social","C"
"50","Respecto a la pregunta anterior; con la finalidad de eliminar los...","Prejuicios, los usos y las costumbres de cualquier índole basados en la idea de superioridad o en funciones estereotipadas de mujeres y hombres conformes al principio de igualdad.","Prejuicios, los usos y las costumbres de cualquier índole basados en la idea de inferioridad o en funciones estereotipadas de mujeres y hombres contrarias al principio de legalidad","Prejuicios, los usos y las costumbres de cualquier índole basados en la idea de inferioridad o en funciones estereotipadas de mujeres y hombres contrarias al principio de igualdad.","Todas son correctas.","C"
"51","Las distintas administraciones públicas adoptarán una estrategia dual basada en el principio de:","Implementación de medidas de acción positiva","Complementariedad de medidas de acción positiva","Subsidiariedad de medidas de acción positiva","Todas son correctas","B"
"52","La adopción por el Gobierno Valenciano de medidas especiales de carácter temporal encaminadas a acelerar la igualdad de facto entre la mujer y el hombre","Se considerará discriminatoria en la forma definida en las convenciones internacionales. Estas medidas cesarán cuando se hayan alcanzado los objetivos de igualdad, oportunidad y trato.","No se considerará discriminatoria en la forma definida en las convenciones internacionales. Estas medidas cesarán cuando se hayan alcanzado los objetivos de igualdad, oportunidad y trato.","No se considerará discriminatoria en la forma definida en las convenciones internacionales. Estas medidas se prolongarán aun cuando se hayan alcanzado los objetivos de igualdad, oportunidad y trato.","Todas son incorrectas","B"
"53","Los proyectos normativos incorporarán.","Un dosier de impacto por razón de género","Un informe de impacto","Un dosier de impacto","Un informe de impacto por razón de género","D"
"54","La Generalitat velará, de manera específica, por el cumplimiento del principio de igualdad y no discriminación en la publicidad en los:","Medios de comunicación social o cualquier otro medio de difusión.","Medios de comunicación social pública o privada o cualquier otro medio de difusión.","Medios de comunicación social, radiofónicas o televisivas o cualquier otro medio de difusión.","Medios de comunicación social, radiofónicas, televisivas, incluyendo a las nuevas tecnologías, o cualquier otro medio de difusión.","A"
"55","El Consell de la Generalitat garantizará en los medios de comunicación audiovisual de titularidad pública, la emisión de programas cuyo objetivo sea:","Erradicar la violencia contra las mujeres","Erradicar el acoso sexual","Erradicar la explotación sexual de la mujer","Todas son correctas","D"
"56","Según el Artículo 44. Igualdad en los procesos de formación y promoción de puestos de trabajo. Las administraciones públicas valencianas establecerán planes de formación con el fin de promover, dentro del respeto a los principios de mérito y capacidad, el acceso de las mujeres a la promoción interna de la función pública. Estos serán?","Anuales","Bianuales","Plurianuales","Cada lustro","C"
"57","Según el Artículo 45. Igualdad en la promoción interna. Las administraciones públicas establecerán planes de los distintos departamentos con el fin de promover el acceso de las mujeres a la promoción interna de la función pública. Cada departamento deberá fijar en los respectivos planes los indicadores y objetivos.","Anuales","Bianuales","Plurianuales","Cada lustro","C"
"58","Según el Artículo 46. Fomento de la igualdad en el ámbito de la contratación. En caso de empate en la puntuación obtenida por dos o más empresas a las que les hubiera correspondido la máxima puntuación, tendrán preferencia en la adjudicación de los contratos administrativos de la Generalitat","Las proposiciones de los licitadores que con la solvencia económica de la empresa presenten un plan de igualdad previamente aprobado por cualquier administración pública u órgano competente, aunque no igualen en sus términos a las más ventajosas desde el punto de vista de los criterios objetivos que sirven de base para la adjudicación.","Las proposiciones de los licitadores que con la solvencia económica de la empresa presenten un plan de igualdad previamente aprobado por cualquier administración pública u órgano competente, siempre que las mismas igualen en sus términos a las más ventajosas desde el punto de vista de los criterios objetivos que sirven de base para la adjudicación.","Las proposiciones de los licitadores que con la solvencia técnica de la empresa presenten un plan de igualdad previamente aprobado por cualquier administración pública u órgano competente, aunque no igualen en sus términos a las más ventajosas desde el punto de vista de los criterios objetivos que sirven de base para la adjudicación.","Las proposiciones de los licitadores que con la solvencia técnica de la empresa presenten un plan de igualdad previamente aprobado por cualquier administración pública u órgano competente, siempre que las mismas igualen en sus términos a las más ventajosas desde el punto de vista de los criterios objetivos que sirven de base para la adjudicación.","D"
"59","Según el Artículo 47. Acoso sexual. ¿Qué deberá incorporar la administración autonómica en el Régimen de la Función Pública Valenciana?","El código de conducta contra el acoso sexual recogido en la Recomendación de la Comisión de las Comunidades Europeas de 27 de noviembre de 1991, relativa a la protección de la dignidad de la mujer y del hombre en el trabajo.","El régimen de obligaciones de las Administraciones Publicas contra el acoso sexual recogido en la Recomendación de la Comisión de las Comunidades Europeas de 27 de noviembre de 1991, relativa a la protección de la dignidad de la mujer y del hombre en el trabajo.","El código de conducta y el régimen de obligaciones contra el acoso sexual recogido en la Recomendación de la Comisión de las Comunidades Europeas de 27 de noviembre de 1991, relativa a la protección de la dignidad de la mujer y del hombre en el trabajo.","El código de conducta, el régimen de obligaciones y la graduación de las sanciones para los incumplidores, contra el acoso sexual recogido en la Recomendación de la Comisión de las Comunidades Europeas de 27 de noviembre de 1991, relativa a la protección de la dignidad de la mujer y del hombre en el trabajo.","A"
"60","¿Quiénes pondrán en marcha los medios necesarios para que toda norma o escrito administrativo respeten en su redacción las normas relativas a la utilización de un lenguaje no-sexista.","Los poderes públicos valencianos","Las administraciones públicas valencianas","La Generalitat y todas sus instituciones.","Todos ellos","B"
"61","Según el Artículo 49. Datos estadísticos e investigaciones. ¿Quién impulsará la desagregación de datos por sexos en todas las estadísticas e investigaciones que se lleven a cabo en la Comunitat Valenciana, profundizará en el estudio e investigación sobre la realidad social desde una perspectiva de género, y dará cuenta de la evolución de los índices de igualdad de mujeres y hombres en el ámbito de la Comunitat Valenciana?","La Conselleria competente en la materia.","Les Corts","El Consell de la Generalitat","La Conselleria en Administración Publica","C"
"62","Atendiendo a la Ley 9/2019, de 23 de diciembre, de medidas fiscales, de gestión administrativa y financiera y de organización de la Generalitat. Se modifican el artículo 42, el artículo 49, se renumeran los capítulos I y II del título IV y se modifica el artículo 50, de la Ley 9/2003, de 2 de abril, de la Generalitat, para la Igualdad entre Mujeres y Hombres que quedan redactados como sigue: ¿Cuándo entraron en vigor tales modificaciones?","El 23 de diciembre de 2019","El 30 de diciembre de 2019","El 1 de enero de 2020","El 1 de enero de 2019","C"
