"id","pregunta","a","b","c","d","correcta"
"194","En la Junta de Seguridad prevista en el Estatuto de Autonomía:","Habrá representación de la Comunitat Valenciana, del Estado y de las entidades locales.","Habrá representación de la Comunitat Valenciana y de las entidades locales, pero no del Estado.","Habrá representación del Estado y de las entidades locales, pero no de la Comunidad Valenciana.","Habrá representación de la Comunitat Autónoma y del Estado, pero no de las entidades locales.","D"
"195","Promoverá políticas de equilibro territorial entre las zonas costeras y las zonas del interior de la Comunitat Valenciana:","El Estado.","Les Corts.","El President del Consell.","La Generalitat.","D"
"196","La renta de ciudadanía tiene como fin:","La igualdad entre los ciudadanos de la Comunitat Valenciana.","Facilitar la inserción social de los ciudadanos valencianos en estado de necesidad.","Facilitar la compatibilidad de la vida familiar y laboral.","Colaborar en establecimiento de un régimen fiscal justo y progresivo.","B"
"197","¿Pueden ser exceptuados de la enseñanza y del uso de la lengua propia de la Comunitat Valenciana algún territorio?","Sí, siempre que el Consell así lo determine normativamente.","No.","Sí, siempre que sea establecido por ley.","Solo mediante reforma del Estatuto de Autonomía.","C"
"198","La Delegación en Bruselas abierta por la Comunitat Valenciana:","Tiene carácter administrativo.","Tiene carácter soberano.","Tiene carácter político.","Tiene carácter finalista.","A"
"199","El Título VI del Estatuto se denomina:","Acción Exterior.","Relaciones exteriores de la Comunitat Valenciana.","Relaciones con el Estado y otras comunidades Autónomas.","Relaciones con la Unión Europea.","D"
"200","El Título VII del Estatuto está dedicado a:","Acción Exterior.","Administración Local.","Relaciones con la Unión Europea.","Relaciones con el Estado y otras Comunidades Autónomas.","A"
"201","Los Ayuntamientos tienen carácter:","Proporcional.","Representativo.","Limitado.","Indirecto.","B"
"202","Los criterios con los que se cree el fondo de Cooperación Municipal:","Estarán determinados libremente por el Consell.","Estarán determinados libremente por Les Corts.","Serán los mismos empleados para la creación del fondo estatal.","Estarán determinados libremente por la Comisión Mixta entre la Generalitat y la Federación Valenciana de Municipios y Provincias.","C"
"203","Las diputaciones provinciales son expresión:","De la autonomía provincial.","De los intereses generales de la Comunidad Valenciana.","De la soberanía del pueblo valenciano.","Del autogobierno valenciano.","A"
"204","La ley que determine la división comarcal será aprobada por Les Corts mediante:","Mayoría absoluta.","Mayoría de 2/3.","Mayoría de 3/5","La mayoría que determine el Reglamento de Les Corts.","B"
"205","Cuál de las siguientes afirmaciones es cierta:","Al hacer la división comarcal deberán ser oídas previamente las corporaciones locales afectadas, lo cual no deberá suceder al realizar las agrupaciones de comarcas.","Al realizar las agrupaciones de comarcas, deberán ser oídas previamente las entidades locales afectadas, lo que no sucederá al realizar la división de las áreas metropolitanas.","Tanto al realizar la división comarcal como al realizar las agrupaciones de comarcas, deberán ser oídas previamente las entidades locales afectadas.","Al realizar las agrupaciones de comarcas, deberán ser oídas previamente las entidades locales afectadas, lo que no sucederá al realizar la división en áreas metropolitanas o la división comarcal.","C"
"206","Cuál de las siguientes afirmaciones es cierta:","La Generalitat coordinará todas las funciones de las Diputaciones Provinciales.","La Generalitat coordinará aquellas funciones de las Diputaciones Provinciales que sean de interés general de la Comunitat Valenciana.","La Generalitat coordinará aquellas funciones de las Diputaciones Provinciales que sean de interés general del Estado.","Salvo circunstancias excepcionales, apreciadas por Les Corts, la Generalitat no podrá realizar intervención en las funciones de las Diputaciones Provinciales.","B"
"207","Cuando las Diputaciones Provinciales ejecuten competencias delegadas por la Generalitat, están sometidas a la legislación:","De la Generalitat.","Del Estado.","De las propias Diputaciones.","General dictadas por las entidades locales.","A"
"208","Si una Diputación Provincial no cumple las obligaciones determinadas en el Estatuto:","El Consell, previa autorización de Les Corts, le requerirá para su cumplimiento.","El Consell le requerirá para su cumplimiento y, de no hacerlo, previa autorización de Les Corts, tomará las medidas necesarias para obligarle.","El Consell le requerirá para su cumplimiento y, de no hacerlo, tomará las medidas necesarias para obligarle.","Les Corts le requerirá para su cumplimiento y, de no hacerlo, el Consell podrá tomar las medidas necesarias para obligarle.","C"
"209","La Ley de Régimen Local de las Comunitat Valenciana:","Solo estará sujeta a lo que disponga la Constitución.","Estará sujeta a lo que disponga la legislación básica del Estado.","Solo estará sujeta a lo que disponga la Constitución y al Estatuto.","Estará sujeta a lo que disponga el ordenamiento jurídico estatal.","B"
"210","Cuál de las siguientes características no lo es del sufragio empleado para elegir los Ayuntamientos:","Universal.","Censitario.","Directo.","igual.","B"
"211","La elaboración del Presupuesto de la Generalitat:","Siempre le corresponde al Consell.","Le corresponde al Consell salvo cuando haya transcurrido el plazo para presentarlo pudiendo suplirse la iniciativa del Consell por Les Corts.","Le Corresponde a Les Corts.","Le corresponde al Consell o a los grupos parlamentarios de Les Corts.","A"
"212","Si el Presupuesto de la Generalitat no ha sido presentado dentro del plazo marcado por el Estatuto:","Podrá prorrogarse el anterior salvo oposición expresa del Consell.","Se prorrogará el Presupuesto anterior.","Podrá prorrogarse el anterior salvo oposición expresa de Les Corts.","Podrá prorrogarse el anterior.","B"
"213","El plazo que determina el Estatuto para presentar los Presupuestos Generales de la Generalitat es de:","Tres meses de antelación al inicio del correspondiente ejercicio.","Tres meses de antelación desde que se haya declarado formalmente la caducidad del anterior.","Dos meses de antelación desde que se haya declarado formalmente la caducidad del anterior.","Dos meses de antelación al inicio del correspondiente ejercicio.","D"
"214","La modificación del artículo del Estatuto que determina los impuestos cedidos a la Generalitat:","Supone una reforma mínima del Estatuto.","Se realizará mediante acuerdo del Gobierno de España y el Consell.","Supone la reforma agravada del Estatuto.","Se realizará por el Servicio Valenciano Tributario.","B"
"215","El Título X del Estatuto está compuesto por:","Un artículo.","Cinco artículos.","Seis artículos.","Dohp artículos.","A"
"216","Si la reforma del Estatuto fracasa:","No se podrá intentar ninguna reforma del Estatuto dentro del mismo año.","No se podrá intentar ninguna reforma del Estatuto dentro de la misma legislatura.","No podrá intentarse nuevamente la reforma en la forma propuesta sobre el mismo punto, pero sí cambiando la propuesta de reforma de ese punto.","Podrá intentarse nueva reforma del Estatuto sobre otro punto del mismo.","D"
"217","Cuál de las siguientes afirmaciones es cierta respecto a la reforma del Estatuto:","No podrá ser iniciada por el Consell.","No podrá ser iniciada por los grupos parlamentario de Les Corts.","No podrá ser iniciada por las Cortes Generales.","No podrá ser iniciada por el Presidente de Les Corts.","D"
"218","Los grupos parlamentarios de Les Corts, con respecto a la reforma del Estatuto:","Tendrá que ser iniciada por el número de grupos parlamentarios de Les Corts que determine el Reglamento de Les Corts.","Para iniciarla deberán ser al menos dos grupos parlamentarios de Les Corts.","Para iniciarla deberán ser al menos la mayoría de los grupos parlamentarios de Les Corts.","Para iniciarla no se computará el apoyo del grupo parlamentario que forme parte del Consell.","B"
"219","La reforma del Estatuto:","En ningún supuesto precisa referéndum.","No precisa referéndum respecto a determinadas materias.","Solo precisa referéndum cuando así lo disponga el Gobierno de la Nación.","No podrá ser objeto de referéndum.","B"
"220","El plazo para celebrar el referéndum de reforma del estatuto por parte de la Generalitat:","No está determinado en el Estatuto.","Es de seis meses desde su entrada en vigor.","Es de seis meses desde la votación final de las Cortes Generales.","Es de seis meses desde la votación de ratificación de Les Corts una vez recibido de las Cortes Generales.","C"
"221","El Estatuto deberá ser aprobado por una mayoría de:","2/3 de Les Corts salvo un supuesto específico.","3/5 de Les Corts.","3/5 de Les Corts salvo un supuesto específico.","Siempre mayoría absoluta de Les Corts.","A"
"222","Si la reforma del Estatuto de Autonomía es objeto de referéndum en el territorio de la Comunitat, dicho referéndum de ratificación:","Será convocado por las cortes Generales.","Será convocado por la Generalitat.","Será convocado por el estado","Será convocado por Les Corts.","B"
"223","Cuántos diputados de Les Corts se precisan para iniciar la reforma del Estatuto:","El número que determine el reglamento de Les Corts.","Una décima parte.","Una quinta parte.","Una tercera parte.","D"
