"id","pregunta","a","b","c","d","correcta"
"19","Según lo establecido en el artículo 102 de la Constitución Española, la acusación a miembros del Gobierno por delitos de traición o contra la seguridad del Estado sólo podrá ser planteada por iniciativa de:","La tercera parte de los miembros del Congreso, y con aprobación de la mayoría absoluta del mismo.","La cuarta parte de los miembros del Congreso, y con aprobación de la mayoría simple del mismo.","La tercera parte de los miembros de cualquiera de las Cámara, y con aprobación de la mayoría absoluta de sus miembros.","La cuarta parte de los miembros del Congreso, y con aprobación de la mayoría absoluta del mismo.","D"
"20","Según lo establecido en el artículo 102 de la Constitución Española, la responsabilidad criminal de los miembros del Gobierno y del Presidente de Gobierno será exigible, en su caso, ante la Sala de lo Penal de:","La Audiencia Nacional.","El Tribunal Supremo.","El Tribunal Constitucional.","El Tribunal Superior de Justicia.","B"
"21","Según lo dispuesto en los artículos 103 y 105 de la Constitución Española, la ley regulará:","La audiencia de los ciudadanos, que se habrá de realizar en todo caso directamente, en el procedimiento de elaboración de las disposiciones administrativas que les afecten.","El acceso de los ciudadanos a todos los archivos y registros administrativos, sin excepción alguna.","El procedimiento a través del cual deben producirse los actos administrativos, garantizando, en todo caso, la audiencia del interesado.","El sistema de incompatibilidades de los funcionarios públicos.","D"
"22","Según lo dispuesto en el artículo 107 de la Constitución Española, ¿quién es el supremo órgano consultivo del Gobierno?:","El Consejo de Estado.","El Consejo de Ministros.","La Intervención General de la Administración General del Estado.","El Abogado del Estado.","A"
"23","Según lo establecido en el artículo 108 de la Constitución Española, en caso de ser condenado un Ministro por cometer un delito:","Puede resultar indultado en todo caso.","No puede ser indultado en ningún caso.","Hay supuestos en que no puede ser indultado.","Su dimisión es exigida por la Constitución.","C"
"24","Según lo establecido en el artículo 108 de la Constitución Española, señale la afirmación correcta:","El Gobierno responde solidariamente en su gestión política.","El Gobierno responde subsidiariamente en su gestión política.","El Gobierno no responde solidariamente en su gestión política.","El Gobierno no responde solidariamente en su gestión política, salvo cuando se trate de un delito de traición.","A"
"25","Según lo establecido en el artículo 108 de la Constitución Española, el Gobierno responderá solidariamente de su gestión:","Ante el Senado.","Ante las Cortes Generales.","Ante el Rey.","Ante el Congreso de los Diputados.","D"
"26","Según lo establecido en los artículos 109 y 110 de la Constitución Española, señale la afirmación correcta:","Las Cámaras pueden reclamar la presencia de los miembros del Gobierno, pero no así sus Comisiones.","Toda pregunta podrá dar lugar a una moción en la que la Cámara manifieste su posición.","El Gobierno, previa deliberación de su Presidente, puede plantear ante el Congreso de los Diputados la cuestión de confianza sobre su programa o sobre una declaración de política general.","Las Cámaras y sus Comisiones podrán recabar, a través de los Presidentes de aquéllas, la información y ayuda que precisen del Gobierno.","D"
"27","Según lo establecido en el artículo 111 de la Constitución Española, el Gobierno y cada uno de sus miembros están sometidos a las interpelaciones y preguntas que se le formulen en las Cámaras. Para esta clase de debate los Reglamentos establecerán un tiempo mínimo:","Mensual.","Diario.","Semanal.","Quincena.","C"
"28","Según lo establecido en los artículos 110 y 111 de la Constitución Española, señale la afirmación falsa:","Toda interpelación podrá dar lugar a una moción en la que la Cámara manifieste su posición.","Las Cámaras y sus Comisiones pueden reclamar la presencia de los miembros del Gobierno.","Los miembros del Gobierno tienen acceso a las sesiones de las Cámaras y a sus Comisiones y la facultad de hacerse oír en ellas, y podrán solicitar que informen ante los mismos funcionarios de sus Departamentos.","El Gobierno cesa tras la convocatoria de elecciones generales, en los casos de pérdida de la confianza parlamentaria previstos en la Constitución, o por dimisión o fallecimiento de su Presidente.","D"
"29","Según lo establecido en el artículo 112 de la Constitución Española, ¿qué trámite es necesario realizar antes de plantear una cuestión de confianza?:","Comunicación al Jefe del Estado.","No es necesario realizar ningún trámite previo.","Deliberación del Presidente del Gobierno.","Deliberación del Consejo de Ministros.","D"
"30","Según lo establecido en el artículo 112 de la Constitución Española, ¿ante quién debe presentar el Gobierno su dimisión en el supuesto de que no prospere la cuestión de confianza?:","Ante el Congreso de los Diputados.","Ante las Cortes Generales.","Ante el Consejo de Ministros.","Ante el Rey.","D"
"31","Según lo establecido en el artículo 112 de la Constitución Española, la cuestión de confianza:","Se plantea por el Congreso o por el Senado.","No puede ser planteada antes de que transcurra un año desde la última convocatoria de elecciones.","Es una facultad que corresponde al Rey.","Parte por iniciativa del Presidente del Gobierno.","D"
"32","Según lo establecido en el artículo 112 de la Constitución Española, ¿qué mayoría se necesita para entender otorgada la confianza ante el planteamiento de una cuestión de confianza?:","Mayoría de dos tercios.","Mayoría absoluta.","Mayoría simple.","Mayoría de tres quintos.","C"
"33","Según lo establecido en el artículo 113 de la Constitución Española, ¿quién puede plantear una moción de censura?:","El Gobierno.","El Congreso.","Las Cortes Generales.","El Rey.","B"
"34","Según lo establecido en el artículo 113 de la Constitución Española, ¿cuánto tiempo debe transcurrir desde que se presente una moción de censura hasta su votación?:","Cuarenta y ocho horas.","Veinticuatro horas.","Cinco días.","Setenta y ocho horas.","C"
"35","Según lo establecido en el artículo 113 de la Constitución Española, ¿por quién ha de ser propuesta la moción de censura?:","Por al menos por la décima parte de ambas Cámaras.","Por al menos por la décima parte de los Diputados.","Por al menos por la quinta parte de cualquiera de las dos Cámaras.","Por al menos por la quinta parte de los Diputados.","B"
"36","Según lo establecido en el artículo 113 de la Constitución Española, ¿en qué plazo desde la presentación de una moción de censura podrán presentarse mociones alternativas?:","En los dos primeros días.","En los cinco primeros días.","En los seis primeros días.","En los tres primeros días.","A"
"37","Según lo establecido en los artículos 98, 108, 110 y 113 de la Constitución Española, señale la afirmación correcta sobre el Gobierno:","Dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado.","Responde solidariamente en su gestión política ante el Rey.","Los miembros del Gobierno tienen acceso a las sesiones de las Cámaras, pero no a la de sus Comisiones.","Las Cortes Generales pueden exigir la responsabilidad política del Gobierno mediante la adopción por mayoría absoluta de la moción de censura.","A"
"38","Según lo establecido en los artículos 113 y 114 de la Constitución Española, en el supuesto de prosperar una moción de censura:","Se han de disolver las Cortes para la celebración de unas nuevas elecciones.","El Rey da paso a la ronda de consultas previas a la propuesta de un nuevo candidato.","El vicepresidente del Gobierno pasa a sustituir al Presidente lo que resta de legislatura.","El candidato propuesto en la misma se entiende investido de la confianza del Congreso.","D"
"39","Según lo establecido en los artículos 112 y 114 de la Constitución Española, en el supuesto de que una cuestión de confianza no obtenga la mayoría necesaria en el Congreso:","Se han de disolver las Cortes para la celebración de unas nuevas elecciones.","El Rey da paso a la ronda de consultas previas a la propuesta de un nuevo candidato.","El vicepresidente del Gobierno pasa a sustituir al Presidente lo que resta de legislatura.","El candidato de la oposición se entiende investido de la confianza del Congreso.","B"
"40","Según lo establecido en el artículo 114 de la Constitución Española, ¿cuándo se han de celebrar elecciones?:","Cuando no prospera una cuestión de confianza.","Cuando prospera una moción de censura.","Ninguna de las anteriores es correcta.","En ambas ocasiones.","C"
"41","Según lo establecido en el artículo 115 de la Constitución Española, el Presidente del Gobierno, podrá proponer la disolución:","Del Congreso.","Del Senado.","De las Cortes Generales.","Todas las respuestas son correctas.","D"
"42","Según lo establecido en el artículo 115 de la Constitución Española, la propuesta de disolución de las Cortes por parte del Gobierno no podrá presentarse cuando:","Esté en trámite una moción de censura.","En tiempos de guerra.","Se esté procesando a algún miembro del Gobierno.","Todas son correctas.","A"
"43","Según lo establecido en el artículo 115 de la Constitución Española, ¿quién decreta la disolución de las Cortes a propuesta del Gobierno?:","El Presidente del Congreso.","El Presidente de la Cámara respectiva.","El Rey, con el refrendo del Presidente del Congreso.","El Rey, con el refrendo del Presidente del Gobierno.","D"
"44","En relación con la pregunta anterior, no procederá nueva disolución:","Antes de que transcurra un periodo de sesiones desde la anterior.","Antes de que transcurra un mes desde las elecciones.","Antes de que transcurra un año desde la anterior.","Antes de que transcurra un año desde las elecciones.","C"
"45","Según lo establecido en el artículo 116 de la Constitución Española, el Gobierno será competente para la declaración de:","El estado de alarma tan solo.","Los estados de alarma y sitio.","Los estados de alarma y excepción.","Los estados de alarma, excepción y sitio.","C"
"46","Según lo establecido en el artículo 116 de la Constitución Española, el estado de alarma será declarado por un plazo máximo de:","Quince días.","Un mes.","Treinta días.","Ninguna de las anteriores es correcta, puesto que dispone de un plazo indefinido.","A"
"47","Según lo establecido en el artículo 116 de la Constitución Española, deberá ser autorizado por el Congreso de los Diputados:","El estado de alarma tan solo.","El estado de excepción y la prórroga del estado de alarma.","Los estados de alarma y excepción.","Los estados de alarma, excepción y sitio.","B"
"48","Según lo establecido en el artículo 116 de la Constitución Española, ¿cuánto puede durar la prórroga del estado de excepción?:","Quince días.","Un mes.","Treinta días.","Ninguna de las anteriores es correcta, puesto que dispone de un plazo indefinido.","C"
"49","Según lo establecido en el artículo 116 de la Constitución Española, ¿quién declara el estado de sitio?:","El Gobierno.","Las Cortes Generales.","El Congreso por mayoría absoluta.","El Rey.","C"
"50","Según lo establecido en el artículo 116 de la Constitución Española, señale la opción INCORRECTA:","No podrá procederse a la disolución del Congreso mientras estén declarados algunos de los estados de alarma, excepción o sitio.","El estado de sitio será declarado por el Congreso de los Diputados, a propuesta del Gobierno o de las comunidades autónomas.","La declaración de los estados de alarma, de excepción y de sitio no modificarán el principio de responsabilidad del Gobierno.","Disuelto el Congreso o expirado su mandato, si se produjere alguna de las situaciones que dan lugar a un estado de alarma o de excepción o de sitio, las competencias del Congreso serán asumidas por su Diputación Permanente.","B"
