"id","pregunta","a","b","c","d","correcta"
"392","¿Qué significa el principio de representación en la sucesión de la Corona?","Que los hijos del Príncipe heredero muerto ceden la herencia de la Corona al siguiente hijo mayor del Rey.","Que los hijos del Príncipe heredero muerto heredarían la Corona antes que los demás hijos del Rey.","Que el Príncipe heredero representa al Rey en los actos que no pueda asistir.","Que el Príncipe heredero o algún miembro de la familia Real designado representa al Rey en los actos que no pueda asistir.","B"
"393","La abdicación del Rey de España comporta:","La pérdida temporal de los derechos sucesorios por sí y por los descendientes.","Ceder los derechos sucesorios al siguiente en la línea de sucesión.","La pérdida de los derechos sucesorios por sí y por los descendientes.","Ninguna de las respuestas anteriores es correcta.","B"
"394","Según el artículo 58 y en relación a la Corona, ¿quién no podrá asumir funciones constitucionales?","La Reina consorte.","El consorte de la Reina.","La Reina consorte o el consorte de la Reina.","La Reina consorte o el consorte de la Reina, salvo lo dispuesto para la Regencia.","D"
"395","Cuando el Rey fuera menor de edad, ¿quién entrará a ejercer inmediatamente la Regencia y la ejercerá durante el tiempo de la minoría de edad del Rey?","El padre del Rey.","La madre del Rey.","El padre o la madre del Rey.","El padre o la madre del Rey y, en su defecto, el pariente mayor de edad más próximo a suceder en la Corona.","D"
"396","Para ejercer 'la Regencia en caso de inhabilitación del Rey, dicha inhabilitación tiene que ser reconocida por:","Las Cortes Generales.","El propio Rey.","El Congreso de los Diputados.","El Senado.","A"
"397","En el caso que a ninguna persona le correspondiera la Regencia, esta será nombrada por:","Las Cortes Generales.","El propio Rey.","El Congreso de los Diputados.","El Senado.","A"
"398","Si no hubiere ninguna persona a quien corresponda la Regencia, esta podría estar compuesta por:","Una persona.","Una, tres o cinco personas.","Una o tres personas.","Dos personas.","B"
"399","Para ejercer la Regencia es preciso ser;","Español.","Español de nacimiento.","Español y mayor de edad.","Español de nacimiento y mayor de edad.","C"
"400","Según la Constitución la Regencia se ejercerá:","Por mandato constitucional.","Por mandato constitucional y siempre en nombre del Rey.","Por mandato de las Cortes Generales.","Por mandato de las Cortes Generales y siempre en nombre del Rey.","B"
"401","¿Cuáles de los siguientes casos son expresamente reservados a las sesiones conjuntas de las Cortes Generales?","Para reconocer la incapacidad del Rey.","Para nombrar la Regencia en el caso de ausencia de regencia legítima.","Para nombrar tutor del Rey menor, en caso de inexistencia de tutor testamentario o tutor legítimo.","Todas las respuestas anteriores son correctas.","D"
"402","Tendrá prioridad en el nombramiento de tutor del Rey menor:","El padre o la madre del Rey.","El padre o la madre del Rey y, en su defecto, el pariente mayor de edad más próximo a suceder en la Corona.","La persona que en su testamento hubiese nombrado el Rey difunto.","La persona que sea designada por las Cortes Generales.","C"
"403","Para ser tutor del Rey menores preciso ser:","Español.","Español de nacimiento.","Español y mayor de edad.","Español de nacimiento y mayor de edad.","D"
"404","Podrán ser tutores del Rey menor:","El padre o la madre del Rey.","El padre o la madre del Rey y, en su defecto, el pariente mayor de edad más próximo a suceder en la Corona.","El padre o la madre del Rey, mientras permanezcan viudos.","La persona que sea designada por las Cortes Generales, en primer lugar.","C"
"405","Los cargos de Regente y tutor podrán acumularse en:","El padre del Rey.","La madre del Rey.","Los ascendientes directos del Rey.","Todas las respuestas anteriores son correctas.","D"
"406","El ejercicio de la tutela del Rey menor es incompatible con:","Todo cargo o representación política.","Todo cargo político.","Toda representación política.","Todo cargo o representación política o sindical.","A"
"407","La tutela del Rey es una institución para:","La representación del Rey menor de edad.","La guarda de la persona y bienes del Rey menor de edad.","La educación del Rey menor de edad.","La custodia y gestión de los bienes del Rey menor de edad.","B"
"408","¿En qué momento el Rey prestará juramento de fidelidad a la Constitución?","Al ser proclamado ante el Congreso de los Diputados.","Al ser proclamado ante las Cortes Generales.","Al cumplir la mayoría de edad.","Ninguna de las respuestas anteriores es correcta.","B"
"409","¿En qué momento el Príncipe heredero prestará juramento de fidelidad a la Constitución?","Al ser proclamado ante el Congreso de los Diputados.","Al ser proclamado ante las Cortes Generales.","Al cumplir la mayoría de edad.","Al hacerse cargo de sus funciones.","C"
"410","¿En qué momento el Regente o Regentes prestarán juramento de fidelidad a la Constitución?","Al ser proclamado ante el Congreso de los Diputados.","Al ser proclamado ante las Cortes Generales.","Al cumplir la mayoría de edad.","Al hacerse cargo de sus funciones.","D"
"411","¿En qué momento el Príncipe heredero prestará juramento de fidelidad al Rey?","Al ser proclamado ante el Congreso de los Diputados.","Al ser proclamado ante las Cortes Generales.","Al cumplir la mayoría de edad.","Al hacerse cargo de sus funciones.","C"
"412","¿En qué momento el Regente o Regentes prestarán juramento de fidelidad al Rey?","Al ser proclamado ante el Congreso de los Diputados.","Al ser proclamado ante las Cortes Generales.","Al cumplir la mayoría de edad.","Al hacerse cargo de sus funciones.","D"
"413","Según el artículo 62 de la Constitución española, ¿cuál de las siguientes funciones no corresponde al Rey?","Sancionar y promulgar las leyes.","Convocar y disolver las Cortes Generales.","Nombrar a los diputados.","Convocar elecciones en los casos previstos en la Constitución.","C"
"414","Según el artículo 62 de la Constitución española, ¿cuál de las siguientes funciones no corresponde al Rey?","Convocar a referéndum en los casos previstos en la Constitución.","Autorizar la modificación de la Constitución.","Proponer el candidato a Presidente de Gobierno.","Nombrar al Presidente del Gobierno.","B"
"415","Según el artículo 62 de la Constitución española, ¿cuál de las siguientes funciones no corresponde al Rey?","Poner fin a las funciones del Presidente del Gobierno.","Expedir los decretos acordados en el Consejo de Ministros.","Conferir los empleos civiles y militares y conceder honores y distinciones con arreglo a las leyes.","Dirigir la defensa del Estado.","D"
"416","La convocatoria de un referéndum corresponde:","Al Presidente del Gobierno mediante real decreto.","Al Rey mediante real decreto acordado en Consejo de Ministros y refrendado por su Presidente.","Al Congreso de los Diputados mediante real decreto.","Al Consejo de Ministros mediante real decreto.","B"
"417","Según el artículo 62 de la Constitución española, ¿cuál de las siguientes funciones no corresponde al Rey?","El mando supremo de las Fuerzas Armadas.","Ejercer el derecho de gracia con arreglo a la ley.","Autorizar indultos generales, con arreglo a la ley.","El Alto Patronazgo de las Reales Academias.","C"
"418","El Rey puede presidir las sesiones del Consejo de Ministros, a los efectos de ser informado de los asuntos de Estado:","Cuando lo estime oportuno.","Periódicamente.","A petición del Presidente del Gobierno.","Cuando lo estime oportuno, a petición del Presidente del Gobierno.","D"
"419","¿Cuál de las siguientes funciones corresponden al Rey?","Proponer al candidato a Presidente del Gobierno.","Nombrar al Presidente del Gobierno.","Poner fin a las funciones del Presidente del Gobierno.","Todas las respuestas anteriores son correctas.","D"
"420","¿Cuál de las siguientes funciones no corresponden al Rey?","Ejercer el derecho de gracia con arreglo a la ley.","Autorizar indultos generales.","Autorizar indultos individuales.","Ninguna de las respuestas anteriores es correcta.","B"
"421","Según la Constitución española, ¿cuál de las siguientes funciones no corresponde al Rey?","Dirigir la Administración militar.","Acreditar a los embajadores y otros representantes diplomáticos.","Manifestar el consentimiento del Estado para obligarse internacionalmente por medio de tratados, de conformidad con la Constitución y las leyes.","Declarar la guerra y hacer la paz, previa autorización de las Cortes Generales.","A"
"422","Los representantes extranjeros en España están acreditados ante:","El Presidente del Gobierno.","El Rey.","Las Cortes Generales.","El Presidente del Congreso de los Diputados.","B"
"423","Los actos del Rey serán refrendados por:","El Presidente del Gobierno.","El Presidente del Gobierno y, en su caso, por los Ministros competentes.","Los Ministros competentes.","El Presidente del Congreso.","B"
"424","La propuesta y el nombramiento del Presidente del Gobierno, y la disolución prevista en el artículo 99, serán refrendados por:","El Presidente del Gobierno.","El Presidente del Gobierno y, en su caso, por los Ministros competentes.","Los Ministros competentes.","El Presidente del Congreso.","D"
"425","De los actos del Rey serán responsables:","El Presidente del Gobierno.","El Presidente del Gobierno y, en su caso, los Ministros competentes.","Los Ministros competentes.","Las personas que los refrenden.","D"
"426","El Rey recibe unos recursos económicos para el sostenimiento de su Familia y Casa:","De las Cortes Generales.","De los Presupuestos Generales del Estado.","Del Tesoro español.","Del Banco de España.","B"
"427","¿Cómo se nombran y relevan los miembros civiles y militares de la Casa del Rey?","Por el Gobierno.","Por la Comisión de Asuntos de la Casa del Rey.","Libremente, por el Rey.","Libremente, por el Estado.","C"
"428","La cantidad global para el mantenimiento de su Familia y Casa el Rey la distribuirá:","En función de los Presupuestos del Estado.","En función de las necesidades de representación.","Libremente.","Proporcionalmente.","C"
