"id","pregunta","a","b","c","d","correcta"
"797","El Estado se organiza territorialmente, a efectos judiciales, en municipios, partidos, provincias y comunidades autónomas:","Municipio, partidos y comunidades autónomas.","Municipio, partidos, provincias y comunidades autónomas.","Partidos y comunidades autónomas.","Municipio, partidos, provincias, demarcaciones y comunidades autónomas.","B"
"798","Según el artículo 117 de la Constitución española la jurisdicción militar:","Solo está permitida en los estados excepcionales.","Está prohibida en la Constitución.","Rompe el principio de unidad jurisdiccional de los tribunales.","Solo es aplicable a las Fuerzas Armadas.","C"
"799","La jurisdicción militar, según nuestra norma fundamental vigente, se aplica:","Únicamente en estado de sitio.","Únicamente en estado de guerra.","Solo a las Fuerzas Armadas.","A las Fuerzas Armadas y, en algunos casos, a la población civil.","D"
"800","Señale la afirmación correcta. En el ámbito judicial el partido:","Podrá coincidir con la demarcación provincial.","Coincidirá con la demarcación provincial.","Coincidirá con la demarcación municipal","Ninguna de las respuestas anteriores es correcta.","A"
"801","Según el artículo 118 de la Constitución española es obligado:","El cumplimiento de las sentencias de jueces y tribunales.","El cumplimiento de las resoluciones firmes de jueces y tribunales.","Colaborar con los requerimientos de los jueces y tribunales.","Todas las respuestas anteriores son correctas.","D"
"802","Según el artículo 118 de nuestra norma fundamental es obligado;","Prestar la colaboración requerida por los jueces y tribunales en el curso del proceso.","Prestar la colaboración requerida en la ejecución de las sentencias.","Prestar la colaboración requerida en la institución del Jurado popular.","Las respuestas a y b son correctas.","D"
"803","En función del artículo 119 de la Constitución española la justicia será:","Gratuita, cuando así lo disponga la ley.","Gratuita.","Será gratuita, en todo caso, respecto de quienes acrediten insuficiencia de recursos para litigar.","Las respuestas a y c son correctas.","D"
"804","Sobre la gratuidad de la justicia, ¿en qué aspecto el contenido constitucional es indisponible y acota las facultades del legislador?","Modular la gratuidad en función del orden jurisdiccional afectado; penal, laboral, civil.","El tipo concreto del proceso.","La gratuidad en función de la insuficiencia de recursos económicos del litigante.","La valoración de los recursos económicos del litigante.","C"
"805","La solicitud de asistencia jurídica gratuita se insta ante:","El Colegio de Abogados del lugar en que se halle el juzgado o tribunal que haya de conocer del proceso principal para el que aquél se solicita, o ante el juzgado de su domicilio.","Los Juzgados de Guardia de su localidad.","Los Juzgados de Primera Instrucción que haya de conocer del proceso principal para el que aquél se solicita.","El Defensor del Pueblo o figura similar de las comunidades autónomas.","A"
"806","Según la Constitución española las actuaciones judiciales serán:","Siempre públicas.","Públicas, con las excepciones que prevean las leyes de procedimiento.","Siempre privadas.","Privadas, con las excepciones que prevean las leyes de procedimiento.","B"
"807","Según la Constitución española el procedimiento judicial será:","Siempre oral.","Predominantemente oral.","Escrito.","Predominantemente escrito.","B"
"808","Los procedimientos judiciales serán predominantemente orales en materia:","Criminal.","Civil.","Contencioso-administrativa.","En ningún caso.","A"
"809","Una de las características de las sentencias judiciales es que serán:","Predominantemente motivadas.","Siempre motivadas.","Predominantemente motivadas, sobre todo en materia penal.","No se requiere que sean motivadas.","B"
"810","Una de las características de las sentencias judiciales es que se pronunciarán en:","Audiencia privada.","Boletines oficiales.","Audiencia pública.","Las respuestas by c son correctas.","C"
"811","De los siguientes principios indique el que no es un principio de funcionamiento constitucional del Poder Judicial:","Gratuidad.","Obligatoriedad de las sentencias.","Procedimiento predominantemente escrito.","Motivación de las sentencias.","C"
"812","Serán indemnizables a cargo del Estado, conforme a la ley, los daños causados:","Por error judicial.","Como consecuencia del funcionamiento anormal de la Administración de Justicia.","Como consecuencia del funcionamiento normal de la Administración de Justicia.","Las respuestas a y b son correctas.","D"
"813","En relación al artículo 121 de la Constitución española son distintos supuestos de responsabilidad del Estado:","Los imputables a errores judiciales.","Los que sean consecuencia del funcionamiento anormal de la Administración de Justicia.","La responsabilidad por prisión preventiva por sentencia absolutoria.","Todas las respuestas anteriores son correctas.","D"
"814","La constitución, funcionamiento y gobierno de los juzgados y tribunales será determinada por:","Ley ordinaria.","Ley orgánica.","Real decreto del Presidente del Gobierno.","Estatutos del Poder Judicial.","B"
"815","La regulación jurídica central actual del Poder Judicial está definida en:","Ley Orgánica 6/1985, de 1 de junio, del Poder Judicial.","Ley Orgánica 9/1985, de 1 de junio, del Poder Judicial.","Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial.","Ley Orgánica 9/1990, de 1 de julio, del Poder Judicial.","C"
"816","Según el artículo 122 de la Constitución española los jueces y magistrados de carrera, formarán:","El Poder Judicial.","Un cuerpo único.","Un cuerpo institucional.","Un cuerpo judicial del Estado.","B"
"817","El órgano de gobierno del Poder Judicial es el:","Consejo General del Poder Judicial.","Tribunal Supremo.","Tribunal Superior de Justicia.","Tribunal Constitucional.","A"
"818","El órgano de gobierno del Poder Judicial será regulado por:","Ley ordinaria.","Ley orgánica.","Real decreto del Presidente del Gobierno.","Estatutos del Poder Judicial.","B"
"819","El órgano de gobierno del Poder Judicial estará presidido por:","Su Presidente.","Presidente del Tribunal Constitucional.","Presidente del Tribunal Supremo.","Ninguna de las respuestas anteriores es correcta.","C"
"820","¿Cuál es el número de miembros del órgano de gobierno del Poder Judicial?","Veinte miembros.","Veintiún miembros.","Veintidós miembros.","Veintitrés miembros.","B"
"821","¿Quién nombra a los miembros del Consejo General del Poder Judicial?","El Rey.","El Presidente del Gobierno.","El Presidente del Tribunal Supremo.","Las Cortes Generales.","A"
"822","¿Cuánto dura el mandato de los miembros del Consejo General del Poder Judicial?","Tres años.","Cuatro años.","Cinco años.","Seis años.","C"
"823","En relación a la composición de miembros del Consejo General del Poder Judicial, ¿cuántos son elegidos entre jueces y magistrados de todas las categorías judiciales?","Diez miembros.","Doce miembros.","Catorce miembros.","Quince miembros.","B"
"824","Según la Constitución española y en relación a la composición de miembros del Consejo General del Poder Judicial, ¿cuántos miembros son a propuesta del Congreso de los Diputados?","Dos.","Cuatro.","Seis.","Cinco.","B"
"825","Según la Ley Orgánica del Poder Judicial y en relación a 'la composición de miembros del Consejo General del Poder Judicial, ¿cuántos miembros son a propuesta del Congreso de los Diputados?","Dos.","Diez.","Seis.","Cinco.","B"
"826","Tanto en el Congreso de los Diputados como en el Senado, ¿con qué mayoría se eligen a los miembros propuestos para el Consejo General del Poder Judicial?","Mayoría simple.","Mayoría absoluta.","Un tercio.","Tres quintos.","D"
"827","En relación a la composición de miembros del Consejo General del Poder Judicial, ¿cuántos son elegidos entre abogados y otros juristas?","Ocho miembros.","Diez miembros.","Doce miembros.","Seis miembros.","A"
"828","Una de las condiciones de los abogados y juristas que pueden ser nombrados para el Consejo General del Poder Judicial es que tienen que ser de reconocida competencia, ¿cuál es la segunda condición?","Tener más de cinco años de ejercicio en su profesión.","Tener más de diez años de ejercicio en su profesión.","Tener más de quince años de ejercicio en su profesión.","Tener más de veinte años de ejercicio en su profesión.","C"
"829","En la norma jurídica que regula el Poder Judicial se establecerá:","Su estatuto.","El régimen de incompatibilidades de sus miembros.","El régimen de nombramientos, ascensos y régimen disciplinario.","Todas las respuestas anteriores son correctas.","D"
"830","¿Cuál es el órgano jurisdiccional superior en todos los órdenes, salvo lo dispuesto en materia de garantías constitucionales?","El Tribunal Superior de Justicia.","El Tribunal Supremo.","El Tribunal Constitucional.","Ninguna de las respuestas anteriores es correcta.","B"
"831","¿Cuál es el órgano jurisdiccional superior en materia de garantías constitucionales?","El Tribunal Superior de Justicia.","El Tribunal Supremo.","El Tribunal Constitucional.","Ninguna de las respuestas anteriores es correcta.","C"
"832","El Presidente del Tribunal Supremo será nombrado por:","El Rey.","El Presidente del Gobierno.","El Presidente del Tribunal Supremo.","Las Cortes Generales.","A"
"833","¿Quién propone al Presidente del Tribunal Supremo?","El Rey.","El Gobierno.","El Presidente del Tribunal Supremo.","El Consejo General del Poder Judicial.","D"
"834","¿Quién es la máxima autoridad judicial en España?","El Presidente del Tribunal Constitucional.","El Presidente del Tribunal Supremo.","El Presidente del Consejo General del Poder Judicial.","Las respuestas by c son correctas.","D"
"835","¿Qué artículo del texto constitucional está dedicado al Tribunal Supremo?","Ciento veintitrés.","Ciento veinticuatro.","Ciento veinticinco.","Ciento veintiséis.","A"
"836","El Ministerio Fiscal tiene por misión promover la acción de la justicia:","En defensa de la legalidad.","En defensa de los derechos de los ciudadanos.","En defensa del interés público tutelado por la ley.","Todas las respuestas anteriores son correctas.","D"
"837","Según el artículo 124 del texto constitucional la acción del Ministerio Fiscal se promoverá:","De oficio.","A petición de los interesados.","De oficio o a petición de los interesados.","A petición del Gobierno.","C"
"838","¿Cuál es una función del Ministerio Fiscal?","Velar por la independencia de los tribunales.","Velar por el respeto de las instituciones constitucionales y los derechos fundamentales y libertades públicas con cuantas actuaciones exija su defensa.","Velar por el cumplimiento de las resoluciones judiciales que afecten al interés público y social.","Todas las respuestas anteriores son correctas.","D"
"839","La normativa por la que se regula el Estatuto Orgánico del Ministerio Fiscal","Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","Ley 51/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","Ley 52/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","Ley 55/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","A"
"840","El Ministerio Fiscal ejerce sus funciones por medio de:","Órganos integrados.","Órganos propios.","Órganos compartidos.","Ninguna de las respuestas anteriores es correcta.","B"
"841","Siguiendo el artículo 124 de la Constitución española, ¿cuál es un principio de actuación del Ministerio Fiscal?","Unidad orgánica.","Unidad funcional.","Unidad de actuación.","Unidad de intervención","C"
"842","En función del artículo 124 de la Constitución española, ¿cuál es un principio de actuación del Ministerio Fiscal?","Dependencia unitaria.","Dependencia jerárquica.","Dependencia jurisdiccional.","Dependencia gubernamental.","B"
"843","El estatuto orgánico del Ministerio Fiscal será regulado por:","La ley.","El Poder Judicial.","La Constitución.","El Consejo General del Poder Judicial.","A"
"844","El Fiscal General del Estado será nombrado por:","El Rey.","El Gobierno.","El Presidente del Tribunal Supremo.","El Consejo General del Poder Judicial.","A"
"845","El Fiscal General del Estado será nombrado a propuesta de:","El Rey.","El Gobierno.","El Presidente del Tribunal Supremo.","El Consejo General del Poder Judicial.","B"
"846","Un trámite que debe ser cumplido antes de ser nombrado el Fiscal General del Estado es que debe ser oído;","El Rey.","El Gobierno.","El Presidente del Tribunal Supremo.","El Consejo General del Poder Judicial.","D"
"847","Indique cuál no es una característica del Ministerio Fiscal:","Forma un Cuerpo único.","Está organizado jerárquicamente.","No pueden ser trasladados ni removidos.","El Ministerio Fiscal es único para todo el Estado.","C"
"848","Los ciudadanos podrán participar en la Administración de Justicia mediante:","Tribunales consuetudinarios.","Tribunales tradicionales.","La institución del Jurado.","Todas las respuestas anteriores son correctas.","D"
"849","La institución del Jurado está regulada en la:","Ley Orgánica 5/1985, de 22 de mayo, del Tribunal del Jurado.","Ley Orgánica 5/1985, de 22 de abril, del Tribunal del Jurado.","Ley Orgánica 5/1995, de 22 de mayo, del Tribunal del Jurado.","Ley Orgánica 15/1982, de 22 de junio, del Tribunal del Jurado.","C"
"850","De las siguientes instituciones, ¿cuáles están reconocidas legalmente en la actualidad como tribunales de carácter consuetudinario y tradicional?","El Tribunal de las Aguas de la Vega Valenciana.","El Consejo de Hombres Buenos de Murcia.","El Tribunal de Hombres Buenos de Murcia.","Las respuestas a y b son correctas.","D"
"851","¿Cuál de los siguientes cauces no forma parte de la participación de los ciudadanos en la Administración de Justicia?","La iniciativa popular legislativa.","La acción popular.","Los Jurados populares.","Los Tribunales tradicionales.","A"
"852","¿Qué se entiende por la acción popular, propugnada en el artículo 125de la Constitución española?","Es la facultad que tienen los fiscales para personarse en un proceso sin necesidad de invocar la lesión de un interés propio, sino en defensa de la legalidad.","Es la facultad que tienen los ciudadanos para personarse en un proceso sin necesidad de invocar la lesión de un interés propio, sino en defensa de la legalidad.","Es la facultad que tienen los parlamentarios para personarse en un proceso sin necesidad de invocar la lesión de un interés propio, sino en defensa de la legalidad.","Es la facultad que tienen los ciudadanos para personarse en un proceso donde crean que se lesiona un interés propio.","B"
"853","Según la Constitución española la institución del Jurado constituye:","La participación de los ciudadanos en la Administración de Justicia.","La participación de los ciudadanos en la Administración de Justicia penal.","La participación de los ciudadanos en la Administración de Justicia, excepto la penal.","La participación de los ciudadanos en Tribunales de excepción.","A"
"854","La institución del Jurado está contemplada en nuestra Constitución en el artículo:","Ciento veinte.","Ciento veintidós.","Ciento veinticinco.","Ciento treinta.","C"
"855","La policía judicial depende de:","Los Jueces.","Los Tribunales.","El Ministerio Fiscal.","Todas las respuestas anteriores son correctas.","D"
"856","La policía judicial orgánicamente depende de:","El Gobierno.","Los Jueces, Tribunales y Ministerio Fiscal.","El Ministerio Fiscal.","El Ministerio del Interior.","D"
"857","La policía judicial funcionalmente depende de:","El Gobierno.","Los Jueces, Tribunales y Ministerio Fiscal.","El Ministerio Fiscal.","El Ministerio del Interior.","B"
"858","¿Cuál no es una característica de la policía judicial?","Dependencia directa de los órganos judiciales.","Dependencia directa de la Fiscalía del Estado.","Su especialización en materia penal.","Todas las características anteriores definen la policía judicial.","D"
"859","Los Jueces, Tribunales y Ministerio Fiscal, mientras se hallen en activo, no podrán:","Desempeñar otros cargos públicos.","Pertenecer a partidos políticos.","Pertenecer a sindicatos.","Todas las respuestas anteriores son correctas.","D"
"860","Según el artículo 127 de la Constitución española la ley establecerá un régimen de incompatibilidades de los miembros del Poder Judicial que deberá:","Asegurar la total independencia de los mismos.","Asegurar la inamovilidad de los mismos.","Asegurar la exclusividad laboral de los mismos.","Todas las respuestas anteriores son correctas.","A"
"861","¿La asociación profesional de los jueces, magistrados y fiscales está permitida por la Constitución?","No.","Sí.","En determinadas ocasiones.","Solo está permitida la asociación profesional de jueces y magistrados.","B"
