"id","pregunta","a","b","c","d","correcta"
"283","¿Cuál de las siguientes afirmaciones no es correcta en relación a las condiciones generales para la práctica de las notificaciones según la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común?","Las notificaciones se practicarán preferentemente por medios electrónicos y, en todo caso, cuando el interesado resulte obligado a recibirlas por esta vía.","Las notificaciones se practicarán indistintamente por medios escritos a electrónicos.","Se podrán practicar notificaciones por medios no electrónicos cuando para asegurar la eficacia de la actuación administrativa resulte necesario practicar la notificación por entrega directa de un empleado público de la Administración notificante.","Se podrán practicar notificaciones por medios no electrónicos cuando la notificación se realice con ocasión de la comparecencia espontanea del interesado o su representante en las oficinas de asistencia en materia de registro y solicite la comunicación o notificación personal en ese momento.","B"
"284","¿Quién podrá comunicar en cualquier momento a la Administración Pública, mediante los modelos normalizados que se establezcan al efecto, que las notificaciones sucesivas se practiquen o dejen de practicarse por medios electrónicos?","Los interesados que no estén obligados a recibir notificaciones electrónicas.","Todos los interesados.","Los interesados que estén obligados a recibir notificaciones electrónicas.","Todas las personas físicas.","A"
"285","Según el artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, las notificaciones serán válidas:","Siempre que permita tener constancia del envío y recepción de las mismas.","Siempre que permita tener constancia de su envió o puesta a disposición, de la recepción o acceso por el interesado o su representante, de sus fechas y horas, del contenido integro y de la identidad fidedigna del remitente y destinatario de la misma.","Siempre que contengan los recursos que procedan y órgano ante el que hubieran de presentarse y plazos para interponerlos.","Las respuestas by c son correctas.","B"
"286","Si una notificación es realizada por distintos cauces, en papel y por medios electrónicos, se tomará como fecha de notificación:","La que el interesado hubiera comunicado mediante la formalización del modelo normalizado correspondiente.","Prevalecerá siempre la notificación hecha a través de medios electrónicos.","Aquella que se produzca en primer lugar.","En procedimientos iniciados a solicitud del interesado, la que se realice por el medio señalado al efecto por aquel. En procedimientos iniciados de oficio por la Administración, la realizada a través de medios electrónicos.","C"
"287","Conforme al artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común, en ningún caso se efectuarán por medios electrónicos las siguientes notificaciones:","Aquellas en las que el acto a notificar vaya acompañado de elementos que no sean susceptibles de conversión en formato electrónico.","Las que contengan medios de pago a favor de los obligados, tales como cheques.","No se exceptúa ninguna notificación de los medios electrónicos.","Las respuestas a y b son correctas.","D"
"288","En los procedimientos iniciados de oficio, a los solos efectos de su iniciación, las Administraciones Públicas podrán recabar, mediante consulta a las bases de datos del Instituto Nacional de Estadística:","El número de teléfono o dirección electrónica recogidos en el Padrón Municipal.","El número de identificación del interesado recogido en el Padrón Municipal.","Los datos sobre el domicilio del interesado recogidos en el Padrón Municipal.","Todas las respuestas anteriores son correctas.","C"
"289","Según el artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, la identificación adicional por parte de un interesado de un dispositivo electrónico y/o una dirección de correo electrónico servirá para:","Envió de notificaciones reguladas en el artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.","Envío de avisos reguladas en el artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Púbicas.","Envió de citaciones reguladas en el artículo 41 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.","Las respuestas a y c son correctas.","B"
"290","Cuando un interesado o su representante rechace la notificación de una actuación administrativa:","Se hará constar en el expediente, especificándose las circunstancias del intento de notificación y el medio.","Se dará por efectuado el trámite.","Se seguirá el procedimiento.","Todas las respuestas anteriores son correctas.","D"
"291","Las Administraciones podrán establecer la obligación de practicar electrónicamente las notificaciones para determinados procedimientos y para ciertos colectivos:","De personas físicas que por razón de su capacidad económica, técnica, dedicación profesional u otros motivos quede acreditado que tienen acceso y disponibilidad de los medios electrónicos necesarios.","De personas jurídicas que por razón de su capacidad económica, técnica, dedicación profesional u otros motivos quede acreditado que tienen acceso y disponibilidad de los medios electrónicos necesarios.","De personas físicas que por su especial relación profesional con la Administración sean más eficaces dichas notificaciones.","Las respuestas a y b son correctas.","A"
"292","En relación a las notificaciones, en los procedimientos iniciados a solicitud del interesado:","La notificación se realizará electrónicamente, a no ser que el interesado señale otro medio.","La notificación se practicará por el medio señalado por el interesado.","La notificación se practicará por el medio señalado por el Interesado. Está notificación será electrónica en los casos en los que exista obligación de relacionarse de esta forma con la Administración.","La notificación se realizará en papel, a no ser que el interesado señale otro medio.","C"
"293","Las Administraciones Públicas enviarán un aviso al dispositivo electrónico y/o dirección de correo electrónico del interesado que este haya comunicado, informándole de la puesta a disposición de una notificación en la sede electrónica de la Administración u Organismo correspondiente o en la dirección electrónica habilitada única. La falta de práctica de este aviso:","Impedirá que la notificación sea considerada plenamente valida.","No impedirá que la notificación sea considerada plenamente valida.","Depende del tipo de contenido de la notificación.","Depende del desarrollo reglamentario de cada Administración Pública.","B"
"294","A su juicio, ¿se puede realizar una notificación a través de SMS o dirección de correo electrónico?","Si, en virtud del artículo 41 de la vigente Ley de Procedimiento Administrativo Común.","Solo si la dirección de correo electrónico ha sido habilitada para notificaciones oficiales.","No, solo servirán para el envío de avisos electrónicos de notificación.","Solo si el interesado ha autorizado recibir avisos y notificaciones electrónicas.","C"
"295","En relación con la práctica de las notificaciones en papel, cuando el interesado accediera al contenido de la notificación en sede electrónica:","Se adoptará ya este sistema para sus notificaciones en el futuro.","Se le ofrecerá la posibilidad de que el resto de las notificaciones se puedan realizar a través de medios electrónicos.","No variara el sistema que tenga adjudicado de notificación.","Ninguna de las respuestas anteriores es correcta.","B"
"296","Cuando la notificación se practique en el domicilio del interesado, de no hallarse este presente, podrá hacerse cargo:","Cualquier persona que se encuentre en el domicilio y haga constar su Identidad.","Nadie, se anotará en el expediente el Intento de notificación junto con la hora y el día, y se repetirá por una sola vez para intentar notificar al interesado.","Cualquier persona que se encuentre en el domicilio.","Cualquier persona mayor de catorce años que se encuentre en el domicilio y haga constar su identidad.","D"
"297","En caso de que en el primer intento de notificación no haya sido posible entregar la misma, este se repetirá por una sola vez:","En una hora distinta dentro de los tres días siguientes.","No se repetirá de nuevo el intento de notificación, se anotará está circunstancia en el expediente del procedimiento correspondiente y se continuará con las actuaciones.","En una hora distinta dentro de los tres días siguientes, si el primer intento se ha realizado antes de las quince horas, deberá realizarse después de las quince horas y viceversa, dejando al menos un margen de diferencia de tres horas entre ambos intentos de notificación.","Mediante anuncio Publicado en el BOE.","C"
"298","Según el artículo 42 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común, todas las notificaciones que se practiquen en papel:","Deberán ser puestas a disposición del interesado en la sede electrónica de la Administración u Organismo actuante para que pueda acceder al contenido de las mismas de forma voluntaria.","Podrán ser puestas a disposición del interesado en la sede electrónica de la Administración u Organismo actuante para que pueda acceder al contenido de las mismas de forma voluntaria.","Deberán ser puestas a disposición del interesado en la sede electrónica de la Administración u Organismo actuante para que pueda acceder al contenido de las mismas de forma obligatoria.","Podrán ser puestas a disposición del interesado en la sede electrónica de la Administración u Organismo actuante para completar el contenido de las mismas.","A"
"299","A los efectos previstos en la práctica de las notificaciones a través de medios electrónicos, se entiende por comparecencia en la sede electrónica:","La identificación del interesado en la sede electrónica.","El acceso mediante certificado de seguridad a la sede electrónica.","El acceso por el interesado o su representante debidamente identificado al contenido de la notificación.","Ninguna de las respuestas anteriores es correcta.","C"
"300","Las notificaciones por medios electrónicos se entenderán practicadas en:","El momento en que se produzca el acceso a su contenido.","El momento que el interesado acceda a la sede electrónica.","Las respuestas a y b son correctas.","Las respuestas a y b son incorrectas.","A"
"301","Cuando la notificación por medios electrónicos sea de carácter obligatoria, o haya sido expresamente elegida por el interesado, se entenderá rechazada cuando haya transcurrido un plazo desde la puesta a disposición de la notificación sin que se acceda a su contenido. Este plazo es de:","30 días naturales.","20 días naturales.","15 días naturales.","10 días naturales.","D"
"302","Señale la respuesta más completa. Según el artículo 43 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, las notificaciones por medios electrónicos se practicarán:","A través de su comparecencia desde el Punto electrónico General de acceso de la Administración.","Mediante comparecencia en la sede electrónica de la Administración u organismo actuante, a través de la dirección electrónica habilitada única o mediante ambos sistemas.","Mediante comparecencia en la sede electrónica de la Administración u organismo actuante.","A través de la dirección electrónica habilitada única.","B"
"303","Indique cuál de las siguientes afirmaciones es correcta en relación a las direcciones electrónicas habilitadas:","Mediante la Dirección Electrónica Habilitada cualquier persona física o jurídica dispondrá de una dirección electrónica para la recepción de las notificaciones administrativas que por vía telemática pueda practicar las distintas Administraciones Públicas.","Como receptor de notificaciones, este servicio tiene carácter gratuito.","Asociado a la Dirección Electrónica Habilitada, su titular dispondrá de un buzón electrónico en el que recibirá las notificaciones electrónicas correspondientes a aquellos procedimientos a los que voluntariamente decida suscribirse.","Todas las respuestas anteriores son correctas.","D"
"304","La normativa donde está desarrollada la práctica de las notificaciones a través de medios electrónicos está contenida en el:","Real Decreto 1671/2016, de 6 de noviembre, por el que se desarrolla parcialmente la Ley 11/2007, de 22 de junio, de acceso electrónico de los ciudadanos a los servicios públicos.","Real Decreto 1671/2009, de 6 de noviembre, por el que se desarrolla parcialmente la Ley 11/2007, de 22 de junio, de acceso electrónico de los ciudadanos a los servicios públicos.","Real Decreto 1671/200g, de 6 de noviembre, por el que se desarrolla parcialmente la Ley 22/2007, de 11 de junio, de acceso electrónica de los ciudadanos a los servicias públicos.","Ninguna de las respuestas anteriores es correcta.","B"
"305","Las Administraciones Púbicas, en caso de que no haya sido posible notificar al interesado, podrán Publicar un anuncio en el Boletín de la Comunidad Autónoma o de la Provincia:","Si, con carácter preceptivo después de que dicho anuncio haya sido Publicado en el BOE.","En ningún caso, la Publicación de los anuncios, para que estos sean considerados válidos en Derecho, deberá ser exclusivamente a través del BOЕ.","Si, previamente y con carácter facultativo, a la Publicación en el BOE.","Solo podrá ser anunciado, aparte de en el BOE, en el tablón de edictos del Consulado o Sección Consular de la embajada correspondiente, en caso de que el último domicilio conocido fuera en el extranjero.","C"
"306","Además de la preceptiva Publicación en el BOE de las notificaciones que hayan resultado infructuosas podrán Publicarse anuncios facultativos en:","El tablón de edictos del ayuntamiento del ultimo domicilio del interesado.","El tablón de edictos del consulado o sección consular de la embajada correspondiente.","Otras formas de notificación complementarias a través de los medios de difusión.","Todas las respuestas anteriores son correctas.","D"
"307","¿De los siguientes casos qué actos administrativos serán objeto de Publicación, surtiendo está Publicación los efectos de la notificación?","Cuando el acto tenga por destinatario a una pluralidad determinada de personas.","Cuando el acto tenga por destinatario a una pluralidad indeterminada de personas.","Cuando la Administración estime que la notificación efectuada a un solo interesado es insuficiente para garantizar la notificación a todos los interesados.","Las respuestas by c son correctas.","D"
"308","¿En qué casos de los siguientes los actos administrativos serán objeto de Publicación, surtiendo está Publicación los efectos de la notificación?","Cuando se trate de actos integrantes de un procedimiento selectivo.","Cuando se trate de actos integrantes de concurrencia competitiva.","Cuando se trate de un procedimiento sancionador.","Las respuestas a y b son correctas.","D"
"309","La Publicación de un acto administrativo deberá contener:","Los mismos elementos que el artículo 50.2 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.","Los mismos elementos que el artículo 40.2 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.","Los mismos elementos que sean estipulados por el sistema de notificación.","Ninguna de las respuestas anteriores es correcta.","B"
"310","En los supuestos de Publicaciones de actos que contengan elementos comunes:","Deberán Publicarse de forma conjunta los aspectos coincidentes.","Podrán Publicarse de forma conjunta los aspectos coincidentes.","Podrán Publicarse de forma conjunta los aspectos coincidentes, especificándose solamente los aspectos individuales de cada acto.","Podrán Publicarse de forma conjunta los individuales, especificándose solamente los aspectos coincidentes de cada acto.","C"
"311","Cuando, por disposición legal o reglamentaria deba practicarse la Publicación de actos y comunicaciones en tablón de anuncios o edictos:","Este trámite será ineludible.","Debe practicarse en el tablón de anuncios y edictos y, complementariamente, en el Diario oficial correspondiente.","Se entenderá cumplida por su Publicación en el Diario oficial correspondiente.","Ninguna de las respuestas anteriores es correcta.","C"
"312","En las convocatorias de determinados procedimientos deberán indicar el medio donde se efectuarán las sucesivas Publicaciones de sus actos, careciendo de validez las que se lleven a cabo en lugares distintos. Estos procedimientos son:","Procedimientos de concurrencia competitiva y procedimientos selectivos.","Procedimientos de convocatorias de subvenciones nominativas.","Las respuestas a y b son correctas.","Ninguna de las respuestas anteriores es correcta.","A"
"313","Las especificaciones que afectan a la Publicación de actos administrativos están contenidas en la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas en su artículo:","Treinta y cinco.","Cuarenta.","Cuarenta y cinco.","Cincuenta.","C"
"314","En caso de que el órgano competente apreciase que la notificación por medio de anuncios o Publicación pudiera lesionar derechos o intereses legítimos, se limitara a Publicar una somera indicación del contenido y lugar donde podrán comparecer los interesados:","En el Boletín Oficial del Estado.","En el Boletín de la Comunidad Autónoma o Provincia correspondiente.","En el Diario oficial correspondiente.","En el Boletín Oficial de la Provincia y en el tablón de edictos del ayuntamiento.","C"
"315","Cuando un órgano se limite a Publicar en el diario oficial que corresponda una somera indicación del contenido de un acto, el lugar donde los interesados podrán comparecer y en el plazo que se establezca, se pretende conseguir:","El conocimiento por los interesados del contenido íntegro del mencionado acto, sin lesionar sus derechos ni intereses legítimos.","Tener constancia del conocimiento por los interesados del contenido íntegro de dicho acto.","Proteger derechos o intereses legítimos de los interesados.","Todas las respuestas anteriores son correctas.","D"
"316","Señale la respuesta incorrecta. Los actos de las Administraciones Públicas son nulos de pleno derecho en los casos siguientes:","Los que lesionen los derechos y libertades susceptibles de amparo constitucional.","Los dictados por órgano manifiestamente incompetente por razón de la materia y jerarquía.","Los que tengan un contenido imposible.","Los que sean constitutivos de infracción penal o se dicten como consecuencia de esta.","B"
"317","Señale la respuesta incorrecta. Los actos de las Administraciones Públicas son nulos de pleno derecho en los casos siguientes:","Los dictados prescindiendo total y absolutamente del procedimiento legalmente establecido o de las normas que contienen las reglas esenciales para la formación de la voluntad de los órganos colegiados.","Los actos presuntos o expresos contrarios al ordenamiento jurídico por lo qué se adquieren facultades o derechos cuando se carezca de los requisitos esenciales para su adquisición.","Cualquier otro establecido expresamente en una disposición con rango de ley.","Los actos que incurran en cualquier infracción del ordenamiento jurídico, incluso la desviación de poder.","D"
"318","Señale la respuesta incorrecta. Las disposiciones administrativas de las Administraciones Públicas son nulas de pleno derecho en los casos siguientes:","Las disposiciones administrativas que vulneren la Constitución, las leyes u otras disposiciones administrativas de rango superior.","Las disposiciones administrativas que regulen materias reservadas a la ley.","Las disposiciones administrativas que establezcan la retroactividad de disposiciones no favorables o restrictivas de derechos individuales.","Los actos que incurran en defecto de forma del ordenamiento jurídico.","D"
"319","¿Qué artículo de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, se dedica a los casos de nulidad de pleno derecho de los actos administrativos?","Artículo 43.","Artículo 45.","Artículo 47.","Artículo 57.","C"
"320","Según el artículo 47 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas no son nulas de pleno derecho los actos de las Administraciones Públicas en los siguientes casos:","Cuando sean constitutivos de infracción penal o se dicten como consecuencia de esta.","Cuando sean constitutivos de infracción administrativa o se dicten como consecuencia de esta.","Cuando sean contrarios al ordenamiento jurídico por los que se adquieren facultades o derechos cuando se carezca de los requisitos esenciales para su adquisición.","Los dictados prescindiendo total y absolutamente del procedimiento administrativo.","B"
"321","La resolución por parte de un Delegado Territorial de la Consejería de Medio Ambiente de una comunidad autónoma en una materia competente del Delegado Territorial de la Consejería de Vivienda y Urbanismo de otra provincia de esa misma comunidad autónoma, da lugar a una incompetencia:","Formal y territorial.","Territorial.","Material y territorial.","Material y jerárquica.","C"
"322","La resolución por parte de un Delegado Territorial de la Consejería de Medio Ambiente de una comunidad autónoma en una materia competente del Delegado Territorial de la Consejería de Vivienda y Urbanismo de otra provincia de esa misma comunidad autónoma, da lugar a una:","Nulidad relativa.","Nulidad absoluta.","Anulabilidad.","Necesidad de convalidación.","B"
"323","Señale la respuesta incorrecta. Los actos de las Administraciones Públicas son anulables en los casos siguientes:","Cuando incurran en cualquier infracción del ordenamiento jurídica, incluso la desviación de poder.","El defecto de forma solo determinará la anulabilidad cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin o de lugar a la indefensión de los interesados.","La realización de actuaciones administrativas fuera del tiempo establecido para ellas solo implicara la anulabilidad del acto cuando así lo imponga la naturaleza del término o plazo.","Todas las respuestas anteriores son incorrectas.","D"
"324","Un defecto de forma en un acto administrativo determinará la anulabilidad de dicho acto:","Cuando no sea subsanable.","Cuando dé lugar a la indefensión de los interesados.","Cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin.","Las respuestas by c son correctas.","D"
"325","Una actuación administrativa fuera del tiempo establecido:","Implica la nulidad del acto.","Implicará la anulabilidad del acto cuando así lo imponga la naturaleza del término o plazo.","No implica nulidad ni anulabilidad.","Ninguna de las respuestas anteriores es correcta.","B"
"326","Señale la respuesta correcta en relación con los límites a la extensión de la nulidad o anulabilidad de los actos:","La nulidad o anulabilidad de un acto no implicara la de los sucesivos en el procedimiento que sean independientes del primero.","La nulidad o anulabilidad en parte del acto administrativo no implicará la de las partes del mismo independientes de aquella, salvo que la parte viciada sea de tal importancia que sin ella el acto administrativo no hubiera sido dictado.","Las respuestas a y b son correctas.","Las respuestas a y b son incorrectas.","C"
"327","Según el artículo 50 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común, y en relación a la conversión de actos viciados:","La conversión de actos viciados solo es posible con actos nulos.","Los actos nulos o anulables que, sin embargo, contengan los elementos constitutivos de otro distinto producirán los efectos de este.","La conversión de actos viciados solo es posible con actos anulables.","Ninguna de las respuestas anteriores es correcta.","B"
"328","Según el artículo 51 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común, y en relación a la conservación de actos y trámites:","La conservación de actos viciados solo es posible con actos nulos.","La conservación de actos viciados solo es posible con actos anulables.","El órgano que declare la nulidad o anule las actuaciones dispondrá siempre la conservación de aquellos actos y trámites cuyo contenido se hubiera mantenido igual de no haberse cometido la infracción.","Ninguna de las respuestas anteriores es correcta.","C"
"329","Conforme al artículo 51 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas la conservación de actos y trámites de actos nulos será acordada por:","El órgano autor del acto nulo.","La jurisdicción contencioso-administrativa.","El órgano que acordó la nulidad o anulo las actuaciones.","El superior jerárquico del autor del acto nulo.","C"
