"id","pregunta","a","b","c","d","correcta"
"190","Todos los valencianos tienen derecho a participar de forma individual, o colectiva, en:","La vida política y social de la Comunitat Valenciana","La vida política, económica y social de la Comunitat Valenciana","La vida política, económica, cultural y social de la Comunitat Valenciana","La vida política, económica, cultural, artística y social de la Comunitat Valenciana","C"
"191","Mediante una Ley de Les Corts se elaborará:","La Declaración de Derechos Humanos de la Comunitat Valenciana","La Carta de Derechos Sociales de la Comunitat Valenciana","La Carta de Derechos Humanos y Sociales de la Comunitat Valenciana","La Declaración de Derechos Humanos y Sociales de la Comunitat Valenciana","B"
"192","La Generalitat procurará la protección y defensa de la creatividad:","Humanística, científica y técnica","Artística, humanística, científica y técnica","Artística, científica y técnica","Artística, científica, biomédica y técnica","C"
"193","La Generalitat garantizará el uso de la lengua de signos propia de los sordos, que deberá ser objeto de:","Enseñanza, protección y divulgación","Enseñanza, protección y respeto","Enseñanza, divulgación y respeto","Enseñanza y protección","B"
"194","Los poderes públicos velarán por los derechos y necesidades de las personas que hayan sufrido daños causados por:","Catástrofes naturales y epidemias","Catástrofes naturales y sobrevenidas","Catástrofes naturales y fuerza mayor","Catástrofes y epidemias naturales","B"
"195","Toda persona tiene derecho a gozar de una vida y un medio ambiente:","Seguro y sano","Seguro y equilibrado","Seguro y ecológicamente equilibrado","Seguro, sano y ecológicamente equilibrado","D"
"196","La Generalitat promoverá políticas de equilibrio territorial entre:","Las zonas agroganaderas y marítimas","Las zonas terrestres y marítimas","Las zonas litorales y de montaña","Las zonas costeras y las del interior","D"
"197","El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye:","El Govern","La Generalitat","El Gobierno Autonómico","El Consell","B"
"198","No forman parte de la Generalitat:","El Consell","Les Corts Valencianes o les Corts","El Govern","El President","C"
"199","No es una institución de la Generalitat valenciana:","La Sindicatura de Comptes","El Comité Econòmic i Social","El Justic de Greuges","El Consell Valencíá de Cultura","C"
"200","Les Corts tienen su sede en:","El Palacio de Carbonell de la ciudad de Alicante","El Palacio de Batlia de la ciudad de Valencia","El Palacio de los Borja de la ciudad de Valencia","El Palacio de Les Cortes de la ciudad de Valencia","C"
"201","No es una función de Les Corts:","Ostentar la más alta representación de la Comunitat Valenciana","Exigir, en su caso, la responsabilidad política del President y del Consell","Elegir al President de la Generalitat","Controlar la acción del Consell","A"
"202","Les Corts estarán constituidas por un número de Diputados y Diputadas no inferior:","91","95","97","99","D"
"203","Los miembros de Les Corts, ¿gozarán de inviolabilidad por las opiniones manifestadas y por los votos emitidos en el ejercicio de sus funciones?:","No, es una prerrogativa exclusiva de los Diputados y Senadores de las Cortes Generales","Sí, mientras ejerzan su mandato","Sí, aun después de haber cesado en su mandato","Sí, hasta el año posterior al cese en su mandato","C"
"204","Según el Estatuto de Autonomía, Les Corts no nombrarán:","A su Presidente","A la Mesa","A una Diputación Permanente","A la Junta de Portavoces","D"
"205","El Reglamento de Les Corts tendrá rango:","De Decreto","De Ley","De Ley Orgánica","De Decreto-Ley","B"
"206","Salvo disposición expresa en sentido contrario, Les Corts adoptan los acuerdos:","Por mayoría simple","Por mayoría absoluta","Por mayoría cualificada","Por mayoría absoluta de los miembros presentes","A"
"207","El President de la Generalitat será elegido por:","El Consell de entre sus miembros","El Consell de entre los ciudadanos valencianos","Les Corts de entre sus miembros","Les Corts de entre los ciudadanos valencianos","C"
"208","La facultad de presentar candidatos a President de la Generalitat corresponde:","A los Partidos Políticos","A los Portavoces de los Partidos Políticos","A los Grupos Parlamentarios","A la Mesa de Les Corts","C"
"209","El President es responsable políticamente:","Ante el pueblo valenciano","Ante Les Corts","Ante el Consell","Ante las Cortes Generales","B"
"210","El Consell responde políticamente de forma solidaria:","Ante Les Corts, careciendo cada miembro de responsabilidad directa por su gestión","Ante Les Corts, sin perjuicio de la responsabilidad directa de cada miembro por su gestión","Ante el propio Consell, careciendo cada miembro de responsabilidad directa por su gestión","Ante el propio Consell, sin perjuicio de la responsabilidad directa de cada miembro por su gestión","B"
"211","El Estatuto de Autonomía de la Comunidad Valenciana crea:","El Comité de Justicia de la Comunitat Valenciana","El Consell de la Justicia de la Comunitat Valenciana","El Síndic de Justicia de la Comunitat Valenciana","La Audiencia Superior de Justicia de la Comunitat Valenciana","B"
"212","El nombramiento de los Magistrados, Jueces y Secretarios del Tribunal Superior de Justicia de la Comunitat Valenciana se efectuará en la forma prevista en:","La Ley Orgánica del Poder Judicial","La Ley que al efecto apruebe Les Corts","La normativa autonómica correspondiente","La Ley de Demarcación y Planta Judicial","A"
"213","El Síndic de Greuges informará a Les Corts del resultado del ejercicio de sus funciones:","Semestralmente","Anualmente","Cuando lo estime oportuno","Cuando le sea requerido","B"
"214","El órgano al que corresponde el control externo económico y presupuestario de la actividad financiera de la Generalitat es:","El Consell de Comptes","La Sindicatura de Comptes","El Tribunal de Comptes","El Comité Econòmic i Social","B"
"215","La institución consultiva y asesora de las instituciones públicas de la Comunitat Valenciana en aquellas materias específicas que afecten a la cultura valenciana es:","L'Acadèmia Valenciana de Cultura","El Consell Valenciá de Cultura","El Comité Valenciá de Cultura","Ninguna de las contestaciones anteriores es correcta","B"
"216","L'Acadèmia Valenciana de la Llengua es una institución de la Generalitat:","De carácter público","De carácter privado","Con naturaleza de fundación pública","Con naturaleza de asociación pública","A"
"217","El órgano consultivo del Consell y, en general, de las instituciones públicas de la Comunitat Valenciana, en materias económicas, sociolaborales y de empleo, es:","El Comité Econòmic i Social","La Sindicatura de Comptes","El Consell Econòmic i Social","El Consell Consultiu Econòmic i Social","A"
"218","El Consell Jurídic Consultiu de la Comunitat Valenciana, institución de la Generalitat de carácter público, no es el órgano consultivo supremo en materia jurídica:","Del Consell","De la Administración Autonómica","De las administraciones locales de la Comunitat Valenciana, en todo caso","Es el órgano consultivo supremo en materia jurídica de todos los entes anteriores","C"
"219","Les Corts podrán delegar en el Consell la potestad de dictar normas con rango de Ley, denominadas:","Decretos Legislativos","Decretos-Ley","Legislación delegada","Decretos","A"
"220","La Generalitat no tiene competencia exclusiva sobre:","Servicios Sociales","Juventud","Estadística de interés de la Generalitat","Fondos europeo y estatal de garantía agraria en la Comunitat Valenciana","D"
"221","La Generalitat no tiene competencia exclusiva sobre:","Ordenación del territorio y del litoral, urbanismo y vivienda","Expropiación forzosa, contratos y concesiones administrativas, en el ámbito de competencias de la Generalitat","Carreteras y caminos cuyo itinerario transcurra íntegramente dentro del territorio de la Comunitat Valenciana","Conservación, desarrollo y modificación del Derecho civil foral valenciano","B"
"222","La Generalitat no tiene competencia exclusiva sobre:","Ordenación del crédito, banca y seguros","Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat","Higiene","Cofradías de pescadores","A"
"223","La Generalitat no tiene competencia exclusiva sobre:","Turismo","Establecimiento y ordenación de centros de contratación de mercancías y valores, de acuerdo con la legislación mercantil","Régimen minero y energético","Cooperativas, pósitos y mutualismo no integrado en el sistema de la Seguridad Social, respetando la legislación mercantil","C"
"224","La Generalitat no tiene competencia exclusiva sobre:","Casinos, juego y apuestas, con exclusión de las Apuestas Mutuas Deportivo Benéficas","Pesca en aguas interiores, marisqueo, acuicultura, caza y pesca fluvial y lacustre","Publicidad, sin perjuicio de las normas dictadas por el Estado para sectores y medios específicos","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio o intervención de empresas cuando lo exija el interés general","D"
"225","La Generalitat tiene competencia exclusiva sobre:","Propiedad intelectual e industrial","Pesos, medidas y contraste de metales","Ferias internacionales que se celebren en la Comunitat Valenciana","Ninguna de las contestaciones anteriores es correcta","D"
"226","La Generalitat, mediante una Ley de Les Corts, creará:","Cuerpos de la Policía Autónoma de la Comunitat Valenciana","Un Cuerpo único de la Policía Autónoma de la Comunitat Valenciana","Cuerpo único de la Policía Autónoma y Local de la Comunitat Valenciana","Un Cuerpo único de la Policía Autónoma y Local de la Comunitat Valenciana","B"
"227","Para el cumplimiento de sus fines, la Generalitat podrá regular, crear y mantener:","Televisión y demás medios de comunicación social","Televisión, radio y demás medios de comunicación social","Televisión, radio y demás medios de comunicación social, de carácter público","Televisión, radio y demás medios de comunicación social, de carácter público o privado","C"
"228","El templo espiritual, histórico y cultural del antiguo Reino de Valencia, símbolo de la grandeza del Pueblo Valenciano reconocido como Nacionalidad Histórica, es:","El Real Monasterio de Santa María de la Valldigna","El Monasterio de Santa Águeda de Llíria","El Monasterio de Fontcalent","El Real Monasterio de Santa Lucía de Morella","A"
"229","Los Notarios y Registradores de la Propiedad y Mercantiles en la Comunitat Valenciana serán nombrados:","Por el Ministerio de Justicia, de acuerdo con las leyes del Estado","Por el Consell, de acuerdo con las leyes del Estado","Por Les Corts, de acuerdo con las leyes del Estado","Por el Consell, de acuerdo con las leyes autonómicas","B"
